,model_name,frame_number,people,error,perc_error
68,faster_rcnn_inception_v2_coco,69.0,6,0,0.0
69,faster_rcnn_inception_v2_coco,70.0,6,0,0.0
70,faster_rcnn_inception_v2_coco,71.0,6,0,0.0
71,faster_rcnn_inception_v2_coco,72.0,6,0,0.0
72,faster_rcnn_inception_v2_coco,73.0,6,0,0.0
73,faster_rcnn_inception_v2_coco,74.0,6,0,0.0
74,faster_rcnn_inception_v2_coco,75.0,6,0,0.0
75,faster_rcnn_inception_v2_coco,76.0,6,0,0.0
76,faster_rcnn_inception_v2_coco,77.0,7,1,0.16666666666666666
77,faster_rcnn_inception_v2_coco,78.0,7,1,0.16666666666666666
78,faster_rcnn_inception_v2_coco,79.0,8,2,0.3333333333333333
79,faster_rcnn_inception_v2_coco,80.0,8,2,0.3333333333333333
80,faster_rcnn_inception_v2_coco,81.0,9,3,0.5
81,faster_rcnn_inception_v2_coco,82.0,8,2,0.3333333333333333
82,faster_rcnn_inception_v2_coco,83.0,8,2,0.3333333333333333
83,faster_rcnn_inception_v2_coco,84.0,6,0,0.0
84,faster_rcnn_inception_v2_coco,85.0,8,2,0.3333333333333333
85,faster_rcnn_inception_v2_coco,86.0,7,1,0.16666666666666666
86,faster_rcnn_inception_v2_coco,87.0,7,1,0.16666666666666666
87,faster_rcnn_inception_v2_coco,88.0,8,2,0.3333333333333333
88,faster_rcnn_inception_v2_coco,89.0,7,1,0.16666666666666666
89,faster_rcnn_inception_v2_coco,90.0,6,0,0.0
90,faster_rcnn_inception_v2_coco,91.0,8,2,0.3333333333333333
91,faster_rcnn_inception_v2_coco,92.0,7,1,0.16666666666666666
92,faster_rcnn_inception_v2_coco,93.0,7,1,0.16666666666666666
93,faster_rcnn_inception_v2_coco,94.0,7,1,0.16666666666666666
94,faster_rcnn_inception_v2_coco,95.0,6,0,0.0
95,faster_rcnn_inception_v2_coco,96.0,6,0,0.0
96,faster_rcnn_inception_v2_coco,97.0,8,2,0.3333333333333333
97,faster_rcnn_inception_v2_coco,98.0,8,2,0.3333333333333333
98,faster_rcnn_inception_v2_coco,99.0,7,1,0.16666666666666666
99,faster_rcnn_inception_v2_coco,100.0,6,0,0.0
100,faster_rcnn_inception_v2_coco,101.0,6,0,0.0
101,faster_rcnn_inception_v2_coco,102.0,7,1,0.16666666666666666
102,faster_rcnn_inception_v2_coco,103.0,8,2,0.3333333333333333
103,faster_rcnn_inception_v2_coco,104.0,7,1,0.16666666666666666
104,faster_rcnn_inception_v2_coco,105.0,6,0,0.0
105,faster_rcnn_inception_v2_coco,106.0,6,0,0.0
106,faster_rcnn_inception_v2_coco,107.0,8,2,0.3333333333333333
107,faster_rcnn_inception_v2_coco,108.0,8,2,0.3333333333333333
108,faster_rcnn_inception_v2_coco,109.0,7,1,0.16666666666666666
109,faster_rcnn_inception_v2_coco,110.0,6,0,0.0
110,faster_rcnn_inception_v2_coco,111.0,5,1,0.16666666666666666
111,faster_rcnn_inception_v2_coco,112.0,8,2,0.3333333333333333
112,faster_rcnn_inception_v2_coco,113.0,9,3,0.5
113,faster_rcnn_inception_v2_coco,114.0,6,0,0.0
114,faster_rcnn_inception_v2_coco,115.0,7,1,0.16666666666666666
115,faster_rcnn_inception_v2_coco,116.0,7,0,0.0
116,faster_rcnn_inception_v2_coco,117.0,9,2,0.2857142857142857
117,faster_rcnn_inception_v2_coco,118.0,8,1,0.14285714285714285
118,faster_rcnn_inception_v2_coco,119.0,8,1,0.14285714285714285
119,faster_rcnn_inception_v2_coco,120.0,7,0,0.0
120,faster_rcnn_inception_v2_coco,121.0,8,1,0.14285714285714285
121,faster_rcnn_inception_v2_coco,122.0,10,3,0.42857142857142855
122,faster_rcnn_inception_v2_coco,123.0,7,0,0.0
123,faster_rcnn_inception_v2_coco,124.0,8,1,0.14285714285714285
124,faster_rcnn_inception_v2_coco,125.0,8,1,0.14285714285714285
125,faster_rcnn_inception_v2_coco,126.0,10,3,0.42857142857142855
126,faster_rcnn_inception_v2_coco,127.0,11,4,0.5714285714285714
127,faster_rcnn_inception_v2_coco,128.0,7,0,0.0
128,faster_rcnn_inception_v2_coco,129.0,8,1,0.14285714285714285
129,faster_rcnn_inception_v2_coco,130.0,8,1,0.14285714285714285
130,faster_rcnn_inception_v2_coco,131.0,10,3,0.42857142857142855
131,faster_rcnn_inception_v2_coco,132.0,11,4,0.5714285714285714
132,faster_rcnn_inception_v2_coco,133.0,8,0,0.0
133,faster_rcnn_inception_v2_coco,134.0,8,0,0.0
134,faster_rcnn_inception_v2_coco,135.0,8,0,0.0
135,faster_rcnn_inception_v2_coco,136.0,8,0,0.0
136,faster_rcnn_inception_v2_coco,137.0,8,0,0.0
137,faster_rcnn_inception_v2_coco,138.0,8,0,0.0
138,faster_rcnn_inception_v2_coco,139.0,8,0,0.0
139,faster_rcnn_inception_v2_coco,140.0,9,1,0.125
140,faster_rcnn_inception_v2_coco,141.0,8,0,0.0
141,faster_rcnn_inception_v2_coco,142.0,8,0,0.0
142,faster_rcnn_inception_v2_coco,143.0,8,0,0.0
143,faster_rcnn_inception_v2_coco,144.0,8,0,0.0
144,faster_rcnn_inception_v2_coco,145.0,11,3,0.375
145,faster_rcnn_inception_v2_coco,146.0,10,2,0.25
146,faster_rcnn_inception_v2_coco,147.0,10,2,0.25
147,faster_rcnn_inception_v2_coco,148.0,9,2,0.2857142857142857
148,faster_rcnn_inception_v2_coco,149.0,7,0,0.0
149,faster_rcnn_inception_v2_coco,150.0,8,1,0.14285714285714285
150,faster_rcnn_inception_v2_coco,151.0,10,3,0.42857142857142855
151,faster_rcnn_inception_v2_coco,152.0,6,1,0.14285714285714285
152,faster_rcnn_inception_v2_coco,153.0,8,1,0.14285714285714285
153,faster_rcnn_inception_v2_coco,154.0,11,4,0.5714285714285714
154,faster_rcnn_inception_v2_coco,155.0,10,3,0.42857142857142855
155,faster_rcnn_inception_v2_coco,156.0,10,3,0.42857142857142855
156,faster_rcnn_inception_v2_coco,157.0,9,2,0.2857142857142857
157,faster_rcnn_inception_v2_coco,158.0,7,0,0.0
158,faster_rcnn_inception_v2_coco,159.0,7,0,0.0
159,faster_rcnn_inception_v2_coco,160.0,7,0,0.0
160,faster_rcnn_inception_v2_coco,161.0,8,1,0.14285714285714285
161,faster_rcnn_inception_v2_coco,162.0,8,1,0.14285714285714285
162,faster_rcnn_inception_v2_coco,163.0,6,1,0.14285714285714285
163,faster_rcnn_inception_v2_coco,164.0,6,1,0.14285714285714285
164,faster_rcnn_inception_v2_coco,165.0,6,1,0.14285714285714285
165,faster_rcnn_inception_v2_coco,166.0,8,1,0.14285714285714285
166,faster_rcnn_inception_v2_coco,167.0,9,2,0.2857142857142857
167,faster_rcnn_inception_v2_coco,168.0,11,4,0.5714285714285714
168,faster_rcnn_inception_v2_coco,169.0,8,1,0.14285714285714285
169,faster_rcnn_inception_v2_coco,170.0,10,3,0.42857142857142855
170,faster_rcnn_inception_v2_coco,171.0,8,1,0.14285714285714285
171,faster_rcnn_inception_v2_coco,172.0,7,0,0.0
172,faster_rcnn_inception_v2_coco,173.0,7,0,0.0
173,faster_rcnn_inception_v2_coco,174.0,6,1,0.14285714285714285
174,faster_rcnn_inception_v2_coco,175.0,7,0,0.0
175,faster_rcnn_inception_v2_coco,176.0,9,2,0.2857142857142857
176,faster_rcnn_inception_v2_coco,177.0,8,1,0.14285714285714285
177,faster_rcnn_inception_v2_coco,178.0,7,0,0.0
178,faster_rcnn_inception_v2_coco,179.0,8,1,0.14285714285714285
179,faster_rcnn_inception_v2_coco,180.0,7,0,0.0
180,faster_rcnn_inception_v2_coco,181.0,7,0,0.0
181,faster_rcnn_inception_v2_coco,182.0,7,0,0.0
182,faster_rcnn_inception_v2_coco,183.0,7,0,0.0
183,faster_rcnn_inception_v2_coco,184.0,6,1,0.14285714285714285
184,faster_rcnn_inception_v2_coco,185.0,6,1,0.14285714285714285
185,faster_rcnn_inception_v2_coco,186.0,6,1,0.14285714285714285
186,faster_rcnn_inception_v2_coco,187.0,6,1,0.14285714285714285
187,faster_rcnn_inception_v2_coco,188.0,6,1,0.14285714285714285
188,faster_rcnn_inception_v2_coco,189.0,7,0,0.0
189,faster_rcnn_inception_v2_coco,190.0,7,0,0.0
190,faster_rcnn_inception_v2_coco,191.0,7,0,0.0
191,faster_rcnn_inception_v2_coco,192.0,7,0,0.0
192,faster_rcnn_inception_v2_coco,193.0,6,1,0.14285714285714285
193,faster_rcnn_inception_v2_coco,194.0,6,1,0.14285714285714285
194,faster_rcnn_inception_v2_coco,195.0,6,1,0.14285714285714285
195,faster_rcnn_inception_v2_coco,196.0,7,0,0.0
196,faster_rcnn_inception_v2_coco,197.0,7,0,0.0
197,faster_rcnn_inception_v2_coco,198.0,7,0,0.0
198,faster_rcnn_inception_v2_coco,199.0,7,0,0.0
199,faster_rcnn_inception_v2_coco,200.0,7,0,0.0
200,faster_rcnn_inception_v2_coco,201.0,7,0,0.0
201,faster_rcnn_inception_v2_coco,202.0,7,0,0.0
202,faster_rcnn_inception_v2_coco,203.0,7,0,0.0
203,faster_rcnn_inception_v2_coco,204.0,9,2,0.2857142857142857
204,faster_rcnn_inception_v2_coco,205.0,8,1,0.14285714285714285
205,faster_rcnn_inception_v2_coco,206.0,9,2,0.2857142857142857
206,faster_rcnn_inception_v2_coco,207.0,8,2,0.3333333333333333
207,faster_rcnn_inception_v2_coco,208.0,8,2,0.3333333333333333
208,faster_rcnn_inception_v2_coco,209.0,6,0,0.0
209,faster_rcnn_inception_v2_coco,210.0,7,1,0.16666666666666666
210,faster_rcnn_inception_v2_coco,211.0,5,1,0.16666666666666666
211,faster_rcnn_inception_v2_coco,212.0,5,1,0.16666666666666666
212,faster_rcnn_inception_v2_coco,213.0,6,0,0.0
213,faster_rcnn_inception_v2_coco,214.0,7,1,0.16666666666666666
214,faster_rcnn_inception_v2_coco,215.0,8,2,0.3333333333333333
215,faster_rcnn_inception_v2_coco,216.0,7,1,0.16666666666666666
216,faster_rcnn_inception_v2_coco,217.0,8,2,0.3333333333333333
217,faster_rcnn_inception_v2_coco,218.0,8,2,0.3333333333333333
218,faster_rcnn_inception_v2_coco,219.0,7,2,0.4
219,faster_rcnn_inception_v2_coco,220.0,8,3,0.6
220,faster_rcnn_inception_v2_coco,221.0,7,2,0.4
221,faster_rcnn_inception_v2_coco,222.0,7,2,0.4
222,faster_rcnn_inception_v2_coco,223.0,6,1,0.2
223,faster_rcnn_inception_v2_coco,224.0,7,1,0.16666666666666666
224,faster_rcnn_inception_v2_coco,225.0,8,2,0.3333333333333333
225,faster_rcnn_inception_v2_coco,226.0,6,0,0.0
226,faster_rcnn_inception_v2_coco,227.0,6,0,0.0
227,faster_rcnn_inception_v2_coco,228.0,7,1,0.16666666666666666
228,faster_rcnn_inception_v2_coco,229.0,7,1,0.16666666666666666
229,faster_rcnn_inception_v2_coco,230.0,7,1,0.16666666666666666
230,faster_rcnn_inception_v2_coco,231.0,7,0,0.0
231,faster_rcnn_inception_v2_coco,232.0,7,0,0.0
232,faster_rcnn_inception_v2_coco,233.0,7,0,0.0
233,faster_rcnn_inception_v2_coco,234.0,8,1,0.14285714285714285
234,faster_rcnn_inception_v2_coco,235.0,8,1,0.14285714285714285
235,faster_rcnn_inception_v2_coco,236.0,9,2,0.2857142857142857
236,faster_rcnn_inception_v2_coco,237.0,8,1,0.14285714285714285
237,faster_rcnn_inception_v2_coco,238.0,9,2,0.2857142857142857
238,faster_rcnn_inception_v2_coco,239.0,9,2,0.2857142857142857
239,faster_rcnn_inception_v2_coco,240.0,9,2,0.2857142857142857
240,faster_rcnn_inception_v2_coco,241.0,9,2,0.2857142857142857
241,faster_rcnn_inception_v2_coco,242.0,8,1,0.14285714285714285
242,faster_rcnn_inception_v2_coco,243.0,8,1,0.14285714285714285
243,faster_rcnn_inception_v2_coco,244.0,7,0,0.0
244,faster_rcnn_inception_v2_coco,245.0,7,0,0.0
245,faster_rcnn_inception_v2_coco,246.0,7,0,0.0
246,faster_rcnn_inception_v2_coco,247.0,7,0,0.0
247,faster_rcnn_inception_v2_coco,248.0,7,0,0.0
248,faster_rcnn_inception_v2_coco,249.0,7,0,0.0
249,faster_rcnn_inception_v2_coco,250.0,7,0,0.0
250,faster_rcnn_inception_v2_coco,251.0,7,0,0.0
251,faster_rcnn_inception_v2_coco,252.0,7,0,0.0
252,faster_rcnn_inception_v2_coco,253.0,8,1,0.14285714285714285
253,faster_rcnn_inception_v2_coco,254.0,10,3,0.42857142857142855
254,faster_rcnn_inception_v2_coco,255.0,9,2,0.2857142857142857
255,faster_rcnn_inception_v2_coco,256.0,8,1,0.14285714285714285
256,faster_rcnn_inception_v2_coco,257.0,8,1,0.14285714285714285
257,faster_rcnn_inception_v2_coco,258.0,9,2,0.2857142857142857
258,faster_rcnn_inception_v2_coco,259.0,8,1,0.14285714285714285
259,faster_rcnn_inception_v2_coco,260.0,7,0,0.0
260,faster_rcnn_inception_v2_coco,261.0,8,1,0.14285714285714285
261,faster_rcnn_inception_v2_coco,262.0,8,1,0.14285714285714285
262,faster_rcnn_inception_v2_coco,263.0,7,0,0.0
263,faster_rcnn_inception_v2_coco,264.0,7,0,0.0
264,faster_rcnn_inception_v2_coco,265.0,7,0,0.0
265,faster_rcnn_inception_v2_coco,266.0,9,2,0.2857142857142857
266,faster_rcnn_inception_v2_coco,267.0,8,1,0.14285714285714285
267,faster_rcnn_inception_v2_coco,268.0,7,0,0.0
268,faster_rcnn_inception_v2_coco,269.0,8,1,0.14285714285714285
269,faster_rcnn_inception_v2_coco,270.0,7,0,0.0
270,faster_rcnn_inception_v2_coco,271.0,8,1,0.14285714285714285
271,faster_rcnn_inception_v2_coco,272.0,6,1,0.14285714285714285
272,faster_rcnn_inception_v2_coco,273.0,7,0,0.0
273,faster_rcnn_inception_v2_coco,274.0,7,0,0.0
274,faster_rcnn_inception_v2_coco,275.0,7,0,0.0
275,faster_rcnn_inception_v2_coco,276.0,7,0,0.0
276,faster_rcnn_inception_v2_coco,277.0,8,1,0.14285714285714285
277,faster_rcnn_inception_v2_coco,278.0,7,0,0.0
278,faster_rcnn_inception_v2_coco,279.0,7,0,0.0
279,faster_rcnn_inception_v2_coco,280.0,9,2,0.2857142857142857
280,faster_rcnn_inception_v2_coco,281.0,10,4,0.6666666666666666
281,faster_rcnn_inception_v2_coco,282.0,9,3,0.5
282,faster_rcnn_inception_v2_coco,283.0,8,2,0.3333333333333333
283,faster_rcnn_inception_v2_coco,284.0,7,1,0.16666666666666666
284,faster_rcnn_inception_v2_coco,285.0,7,1,0.16666666666666666
285,faster_rcnn_inception_v2_coco,286.0,7,1,0.16666666666666666
286,faster_rcnn_inception_v2_coco,287.0,7,1,0.16666666666666666
287,faster_rcnn_inception_v2_coco,288.0,6,0,0.0
288,faster_rcnn_inception_v2_coco,289.0,6,0,0.0
289,faster_rcnn_inception_v2_coco,290.0,6,0,0.0
290,faster_rcnn_inception_v2_coco,291.0,7,1,0.16666666666666666
291,faster_rcnn_inception_v2_coco,292.0,6,0,0.0
292,faster_rcnn_inception_v2_coco,293.0,6,0,0.0
293,faster_rcnn_inception_v2_coco,294.0,6,0,0.0
294,faster_rcnn_inception_v2_coco,295.0,6,0,0.0
295,faster_rcnn_inception_v2_coco,296.0,5,1,0.16666666666666666
296,faster_rcnn_inception_v2_coco,297.0,7,1,0.16666666666666666
297,faster_rcnn_inception_v2_coco,298.0,6,0,0.0
298,faster_rcnn_inception_v2_coco,299.0,6,0,0.0
299,faster_rcnn_inception_v2_coco,300.0,6,0,0.0
300,faster_rcnn_inception_v2_coco,301.0,6,0,0.0
301,faster_rcnn_inception_v2_coco,302.0,6,0,0.0
302,faster_rcnn_inception_v2_coco,303.0,6,0,0.0
303,faster_rcnn_inception_v2_coco,304.0,7,1,0.16666666666666666
304,faster_rcnn_inception_v2_coco,305.0,5,1,0.16666666666666666
305,faster_rcnn_inception_v2_coco,306.0,7,1,0.16666666666666666
306,faster_rcnn_inception_v2_coco,307.0,6,0,0.0
307,faster_rcnn_inception_v2_coco,308.0,7,1,0.16666666666666666
308,faster_rcnn_inception_v2_coco,309.0,7,1,0.16666666666666666
309,faster_rcnn_inception_v2_coco,310.0,6,0,0.0
310,faster_rcnn_inception_v2_coco,311.0,7,1,0.16666666666666666
311,faster_rcnn_inception_v2_coco,312.0,6,0,0.0
312,faster_rcnn_inception_v2_coco,313.0,6,0,0.0
313,faster_rcnn_inception_v2_coco,314.0,6,0,0.0
314,faster_rcnn_inception_v2_coco,315.0,5,1,0.16666666666666666
315,faster_rcnn_inception_v2_coco,316.0,8,2,0.3333333333333333
316,faster_rcnn_inception_v2_coco,317.0,6,0,0.0
317,faster_rcnn_inception_v2_coco,318.0,6,0,0.0
318,faster_rcnn_inception_v2_coco,319.0,5,1,0.16666666666666666
319,faster_rcnn_inception_v2_coco,320.0,5,1,0.16666666666666666
320,faster_rcnn_inception_v2_coco,321.0,6,0,0.0
321,faster_rcnn_inception_v2_coco,322.0,6,0,0.0
322,faster_rcnn_inception_v2_coco,323.0,6,0,0.0
323,faster_rcnn_inception_v2_coco,324.0,6,0,0.0
324,faster_rcnn_inception_v2_coco,325.0,6,0,0.0
325,faster_rcnn_inception_v2_coco,326.0,6,0,0.0
326,faster_rcnn_inception_v2_coco,327.0,6,0,0.0
327,faster_rcnn_inception_v2_coco,328.0,6,0,0.0
328,faster_rcnn_inception_v2_coco,329.0,6,0,0.0
329,faster_rcnn_inception_v2_coco,330.0,6,0,0.0
330,faster_rcnn_inception_v2_coco,331.0,6,0,0.0
331,faster_rcnn_inception_v2_coco,332.0,6,0,0.0
332,faster_rcnn_inception_v2_coco,333.0,7,1,0.16666666666666666
333,faster_rcnn_inception_v2_coco,334.0,6,0,0.0
334,faster_rcnn_inception_v2_coco,335.0,6,0,0.0
335,faster_rcnn_inception_v2_coco,336.0,6,0,0.0
336,faster_rcnn_inception_v2_coco,337.0,6,0,0.0
337,faster_rcnn_inception_v2_coco,338.0,7,1,0.16666666666666666
338,faster_rcnn_inception_v2_coco,339.0,6,0,0.0
339,faster_rcnn_inception_v2_coco,340.0,5,1,0.16666666666666666
340,faster_rcnn_inception_v2_coco,341.0,5,1,0.16666666666666666
341,faster_rcnn_inception_v2_coco,342.0,5,1,0.16666666666666666
342,faster_rcnn_inception_v2_coco,343.0,6,0,0.0
343,faster_rcnn_inception_v2_coco,344.0,7,1,0.16666666666666666
344,faster_rcnn_inception_v2_coco,345.0,5,1,0.16666666666666666
345,faster_rcnn_inception_v2_coco,346.0,5,1,0.16666666666666666
346,faster_rcnn_inception_v2_coco,347.0,6,0,0.0
347,faster_rcnn_inception_v2_coco,348.0,6,0,0.0
348,faster_rcnn_inception_v2_coco,349.0,7,1,0.16666666666666666
349,faster_rcnn_inception_v2_coco,350.0,7,1,0.16666666666666666
350,faster_rcnn_inception_v2_coco,351.0,5,1,0.16666666666666666
351,faster_rcnn_inception_v2_coco,352.0,5,1,0.16666666666666666
352,faster_rcnn_inception_v2_coco,353.0,5,1,0.16666666666666666
353,faster_rcnn_inception_v2_coco,354.0,5,1,0.16666666666666666
354,faster_rcnn_inception_v2_coco,355.0,5,1,0.16666666666666666
355,faster_rcnn_inception_v2_coco,356.0,5,1,0.16666666666666666
356,faster_rcnn_inception_v2_coco,357.0,4,2,0.3333333333333333
357,faster_rcnn_inception_v2_coco,358.0,5,1,0.16666666666666666
358,faster_rcnn_inception_v2_coco,359.0,6,0,0.0
359,faster_rcnn_inception_v2_coco,360.0,6,0,0.0
360,faster_rcnn_inception_v2_coco,361.0,6,0,0.0
361,faster_rcnn_inception_v2_coco,362.0,6,0,0.0
362,faster_rcnn_inception_v2_coco,363.0,6,1,0.2
363,faster_rcnn_inception_v2_coco,364.0,6,1,0.2
364,faster_rcnn_inception_v2_coco,365.0,5,0,0.0
365,faster_rcnn_inception_v2_coco,366.0,5,0,0.0
366,faster_rcnn_inception_v2_coco,367.0,5,0,0.0
367,faster_rcnn_inception_v2_coco,368.0,5,1,0.25
368,faster_rcnn_inception_v2_coco,369.0,5,1,0.25
369,faster_rcnn_inception_v2_coco,370.0,5,1,0.25
370,faster_rcnn_inception_v2_coco,371.0,5,1,0.25
371,faster_rcnn_inception_v2_coco,372.0,5,1,0.25
372,faster_rcnn_inception_v2_coco,373.0,5,1,0.25
373,faster_rcnn_inception_v2_coco,374.0,5,1,0.25
374,faster_rcnn_inception_v2_coco,375.0,4,0,0.0
375,faster_rcnn_inception_v2_coco,376.0,4,0,0.0
376,faster_rcnn_inception_v2_coco,377.0,4,0,0.0
377,faster_rcnn_inception_v2_coco,378.0,4,0,0.0
378,faster_rcnn_inception_v2_coco,379.0,4,0,0.0
379,faster_rcnn_inception_v2_coco,380.0,4,0,0.0
380,faster_rcnn_inception_v2_coco,381.0,4,0,0.0
381,faster_rcnn_inception_v2_coco,382.0,4,0,0.0
382,faster_rcnn_inception_v2_coco,383.0,4,0,0.0
383,faster_rcnn_inception_v2_coco,384.0,4,0,0.0
384,faster_rcnn_inception_v2_coco,385.0,4,0,0.0
385,faster_rcnn_inception_v2_coco,386.0,4,0,0.0
386,faster_rcnn_inception_v2_coco,387.0,4,0,0.0
387,faster_rcnn_inception_v2_coco,388.0,4,0,0.0
388,faster_rcnn_inception_v2_coco,389.0,4,0,0.0
389,faster_rcnn_inception_v2_coco,390.0,4,0,0.0
390,faster_rcnn_inception_v2_coco,391.0,4,0,0.0
391,faster_rcnn_inception_v2_coco,392.0,4,0,0.0
392,faster_rcnn_inception_v2_coco,393.0,4,0,0.0
393,faster_rcnn_inception_v2_coco,394.0,4,1,0.3333333333333333
394,faster_rcnn_inception_v2_coco,395.0,4,1,0.3333333333333333
395,faster_rcnn_inception_v2_coco,396.0,3,0,0.0
396,faster_rcnn_inception_v2_coco,397.0,3,0,0.0
397,faster_rcnn_inception_v2_coco,398.0,3,0,0.0
398,faster_rcnn_inception_v2_coco,399.0,3,0,0.0
399,faster_rcnn_inception_v2_coco,400.0,3,0,0.0
400,faster_rcnn_inception_v2_coco,401.0,3,0,0.0
401,faster_rcnn_inception_v2_coco,402.0,3,0,0.0
402,faster_rcnn_inception_v2_coco,403.0,3,0,0.0
403,faster_rcnn_inception_v2_coco,404.0,3,0,0.0
404,faster_rcnn_inception_v2_coco,405.0,2,0,0.0
405,faster_rcnn_inception_v2_coco,406.0,2,0,0.0
406,faster_rcnn_inception_v2_coco,407.0,2,0,0.0
407,faster_rcnn_inception_v2_coco,408.0,2,0,0.0
408,faster_rcnn_inception_v2_coco,409.0,2,0,0.0
409,faster_rcnn_inception_v2_coco,410.0,2,0,0.0
410,faster_rcnn_inception_v2_coco,411.0,2,0,0.0
411,faster_rcnn_inception_v2_coco,412.0,2,0,0.0
412,faster_rcnn_inception_v2_coco,413.0,2,0,0.0
413,faster_rcnn_inception_v2_coco,414.0,2,0,0.0
414,faster_rcnn_inception_v2_coco,415.0,2,0,0.0
415,faster_rcnn_inception_v2_coco,416.0,2,0,0.0
416,faster_rcnn_inception_v2_coco,417.0,2,0,0.0
417,faster_rcnn_inception_v2_coco,418.0,2,0,0.0
418,faster_rcnn_inception_v2_coco,419.0,2,0,0.0
419,faster_rcnn_inception_v2_coco,420.0,2,0,0.0
420,faster_rcnn_inception_v2_coco,421.0,4,2,1.0
421,faster_rcnn_inception_v2_coco,422.0,3,1,0.5
